track_id,album_id,album_title,artist_name,track_duration,track_interest,track_language_code,track_title,track_url,genre_id,genre_title
2,1.0,AWOL - A Way Of Life,AWOL,02:48,4656.0,en,Food,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/Food,21,Hip-Hop
3,1.0,AWOL - A Way Of Life,AWOL,03:57,1470.0,en,Electric Ave,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/Electric_Ave,21,Hip-Hop
5,1.0,AWOL - A Way Of Life,AWOL,03:26,1933.0,en,This World,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/This_World,21,Hip-Hop
10,6.0,Constant Hitmaker,Kurt Vile,02:41,54881.0,en,Freeway,http://freemusicarchive.org/music/Kurt_Vile/Constant_Hitmaker/Freeway,10,Pop
20,4.0,Niris,Nicky Cook,05:11,978.0,en,Spiritual Level,http://freemusicarchive.org/music/Chris_and_Nicky_Andrews/Niris/Spiritual_Level,76,Experimental Pop
26,4.0,Niris,Nicky Cook,03:01,1060.0,en,Where is your Love?,http://freemusicarchive.org/music/Chris_and_Nicky_Andrews/Niris/Where_is_your_Love,76,Experimental Pop
30,4.0,Niris,Nicky Cook,02:54,718.0,en,Too Happy,http://freemusicarchive.org/music/Chris_and_Nicky_Andrews/Niris/Too_Happy,76,Experimental Pop
46,4.0,Niris,Nicky Cook,01:44,252.0,en,Yosemite,http://freemusicarchive.org/music/Chris_and_Nicky_Andrews/Niris/Yosemite,76,Experimental Pop
48,4.0,Niris,Nicky Cook,03:25,247.0,en,Light of Light,http://freemusicarchive.org/music/Chris_and_Nicky_Andrews/Niris/Light_of_Light,76,Experimental Pop
134,1.0,AWOL - A Way Of Life,AWOL,03:27,1126.0,en,Street Music,http://freemusicarchive.org/music/AWOL/AWOL_-_A_Way_Of_Life/Street_Music,21,Hip-Hop
135,58.0,mp3,Abominog,13:57,2484.0,en,Father's Day,http://freemusicarchive.org/music/Abominog/mp3_1_1535/Fathers_Day,45,Loud-Rock
136,58.0,mp3,Abominog,08:29,1948.0,en,Peel Back The Mountain Sky,http://freemusicarchive.org/music/Abominog/mp3_1_1535/Peel_Back_The_Mountain_Sky,45,Loud-Rock
137,59.0,Live at LACE,Airway,20:33,2559.0,en,Side A,http://freemusicarchive.org/music/Airway/Live_at_LACE/Side_A,1,Avant-Garde
138,59.0,Live at LACE,Airway,20:31,1909.0,en,Side B,http://freemusicarchive.org/music/Airway/Live_at_LACE/Side_B,1,Avant-Garde
139,60.0,Every Man For Himself,Alec K. Redfearn & the Eyesores,04:56,702.0,en,CandyAss,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/Every_Man_For_Himself/CandyAss,17,Folk
140,61.0,The Blind Spot,Alec K. Redfearn & the Eyesores,04:13,1593.0,en,Queen Of The Wires,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/The_Blind_Spot/Queen_Of_The_Wires,17,Folk
141,60.0,Every Man For Himself,Alec K. Redfearn & the Eyesores,03:02,839.0,en,Ohio,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/Every_Man_For_Himself/Ohio,17,Folk
142,62.0,The Quiet Room,Alec K. Redfearn & the Eyesores,07:50,1223.0,en,Punjabi Watery Grave,http://freemusicarchive.org/music/Alec_K_Redfearn_and_the_Eyesores/The_Quiet_Room/Punjabi_Watery_Grave,17,Folk
144,64.0,Amoebiasis,Amoebic Ensemble,01:22,1146.0,en,Wire Up,http://freemusicarchive.org/music/Amoebic_Ensemble/Amoebiasis/Wire_Up,4,Jazz
145,64.0,Amoebiasis,Amoebic Ensemble,05:26,968.0,en,Amoebiasis,http://freemusicarchive.org/music/Amoebic_Ensemble/Amoebiasis/Amoebiasis,4,Jazz
146,65.0,Limbic Rage,Amoebic Ensemble,05:54,855.0,en,Gimme a Buck or I'll Touch You / Boilermaker,http://freemusicarchive.org/music/Amoebic_Ensemble/Limbic_Rage/Gimme_a_Buck_or_Ill_Touch_You__Boilermaker,4,Jazz
147,65.0,Limbic Rage,Amoebic Ensemble,03:52,930.0,en,Repetitive Motion Sickness,http://freemusicarchive.org/music/Amoebic_Ensemble/Limbic_Rage/Repetitive_Motion_Sickness,4,Jazz
